PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
27281559,Clinical Implications of the Pharmacokinetics of Crizotinib in Populations of Patients with Non-Small Cell Lung Cancer.,2016-12-01,Nickens Dana J; Amantea Michael,Pfizer,Erjian.Wang@pfizer.com.
29417827,Validating the total illness burden index for prostate cancer (TIBI-CaP) in men with castration-resistant prostate cancer: data from TRUMPET.,2018-03-01,Flanders Scott C; Kim Janet; Wilson Samuel; Braziunas Jeffrey; Lechpammer Stanislav,Astellas; Medivation,None
39284628,"Nonclinical Profile of PF-06952229 (MDV6058), a Novel TGFβRI/Activin Like Kinase 5 Inhibitor Supports Clinical Evaluation in Cancer.",2024-10-18,Guha Mausumee; Thibault Stephane; Pham Son; Bernales Sebastian; Pai Rama; Herrera Francisco J; Johnson Theodore R; Vitsky Allison; Fernando Tina; Finkelstein Martin,cBio,mausumee.guha@yahoo.com.
40145289,Overall Survival With Palbociclib and Aromatase Inhibitor Versus Aromatase Inhibitor Alone in Older Patients With HR+/HER2- Metastatic Breast Cancer.,2025-04-01,Stergiopoulos Stella; Chen Connie; Li Benjamin; Makari Doris,Pfizer,None
32013416,Quantitation of Urinary Acylcarnitines by DMS-MS/MS Uncovers the Effects of Total Body Irradiation in Cancer Patients.,2020-03-04,Vera Nicholas B; Clasquin Michelle; Pfefferkorn Jeffrey A,Pfizer,None
29360661,Palbociclib has no clinically relevant effect on the QTc interval in patients with advanced breast cancer.,2018-03-01,Durairaj Chandrasekar; Ruiz-Garcia Ana; Gauthier Eric R; Huang Xin; Lu Dongrui R; Hoffman Justin T; Zheng Jenny; Wilner Keith D; Wang Diane D,Pfizer,None
21540235,Delineation of a cellular hierarchy in lung cancer reveals an oncofetal antigen expressed on tumor-initiating cells.,2011-06-15,Damelin Marc,Pfizer,marc.damelin@pfizer.com
33192078,Treatment Sequencing Patterns in Patients with Metastatic Urothelial Cancer Treated in the Community Practice Setting in the United States: SPEAR-Bladder (Study informing treatment Pathway dEcision in bladder cAnceR).,2020-01-01,Cislo Paul; Kim Ruth,Pfizer,None
24298897,Radiographic progression by Prostate Cancer Working Group (PCWG)-2 criteria as an intermediate endpoint for drug development in metastatic castration-resistant prostate cancer.,2014-12-01,Leopold Lance; Wood Brian A; Wang Shaw-Ling; Paolini Jolanda; Chen Isan; Chow-Maneval Edna; Lechuga Mariajose,Ascenta; Pfizer; ICON Clinical Research; Seragon,None
20953153,The path to developing a cervical cancer vaccine.,2010-10-01,Jansen Kathrin U,Pfizer,kathrin.jansen@pfizer.com
39483875,Assessing racial differences in time to subsequent treatment following androgen deprivation therapy among Veterans with prostate cancer.,2024-10-18,Hong Agnes,Pfizer,None
39167332,Patient Preferences for Attributes of Androgen Deprivation Therapies in Prostate Cancer: A Discrete Choice Experiment with Latent Class Analysis.,2024-10-01,Hauber Brett; Hong Agnes; Hunsche Elke,Pfizer; Sumitomo Pharma Switzerland,Sean.P.Collins@gunet.georgetown.edu.
27436663,Economic Analysis Comparing Dalteparin to Vitamin K Antagonists to Prevent Recurrent Venous Thromboembolism in Patients With Cancer Having Renal Impairment.,2016-10-01,Dranitsaris George,Augmentium Pharma Consulting,george@augmentium.com.
20704980,Cell surface growth factor receptor molecules as targets for cancer therapy.,2004-06-01,Fischer Oliver M,Pfizer,None
17398092,The discovery of highly selective erbB2 (Her2) inhibitors for the treatment of cancer.,2007-06-01,Lippa Blaise,Pfizer,blaise.lippa@pfizer.com
27202198,Costs of Pneumonia in Patients With Cancer Diagnosis from the Private Health System Perspective in Brazil.,2014-11-01,Manfrin D F; Ferreira C N; Gea Y; Rufino C S,Pfizer,None
15758399,Cancer of the prostate - implication for bone metastases.,2002-12-01,Bagi C M,Pfizer,cedo_bagi@groton.pfizer.com
33989949,Avelumab and cetuximab as a therapeutic combination: An overview of scientific rationale and current clinical trials in cancer.,2021-06-01,Moran Michael,Pfizer Pharma,Jean.Bourhis@chuv.ch.
37665777,"Left Ventricular Ejection Fraction in Patients With Ovarian Cancer Treated With Avelumab, Pegylated Liposomal Doxorubicin, or Both.",2023-10-03,Moran Michael,Pfizer Pharma,None
37308665,The GPCR-Gα<sub>s</sub>-PKA signaling axis promotes T cell dysfunction and cancer immunotherapy failure.,2023-08-01,Wu Victoria H,Department of; Septerna,Bio@SNS
39095951,The mortality burden of cachexia or weight loss in patients with colorectal or pancreatic cancer: A systematic literature review.,2024-10-01,Smoyer Karen E,Envision,None
26407753,Oral apixaban for the treatment of venous thromboembolism in cancer patients: results from the AMPLIFY trial.,2015-12-01,Lee T C; Pak R; Yamabe T,Pfizer,None
37186518,Efficacy and Imaging-Enabled Pharmacodynamic Profiling of KRAS G12C Inhibitors in Xenograft and Genetically Engineered Mouse Models of Cancer.,2023-07-05,Lee Catherine; Jiang Ziyue Karen; Planken Simon; Manzuk Lisa K; Ortiz Roberto; Hall Michael; Noorbehesht Kavon; Ram Sripad; Affolter Timothy; Troche Gabriel E; Ihle Nathan T; Johnson Theodore; Ahn Youngwook; Kraus Manfred; Giddabasappa Anand,Pfizer; Drug Safety Research and Development Pfizer,None
39329173,Identifying and addressing the needs of caregivers of patients with cancer: evidence on interventions and the role of patient advocacy groups.,2024-01-01,Dave Rushi; Wolf Gianares Brittany; Wilson Tracy,Pfizer,None
37395248,Cancer incidence and mortality trends in Asia based on regions and human development index levels: an analyses from GLOBOCAN 2020.,2023-08-01,Singh Manmohan,Pfizer Corporation Hong Kong,None
33471574,Treatment Patterns and Clinical Outcomes in Korean Cancer Patients With Venous Thromboembolism: A Retrospective Cohort Study.,2021-01-01,Kim Young-Joo; Gil Ha-Yeong,Pfizer Pharmaceuticals Korea,None
38035646,Novel hormone therapy and coordination of care in high-risk biochemically recurrent prostate cancer.,2024-01-01,Bland Christopher S,Pfizer,jefstathiou@partners.org.
39530636,Using bioinformatics and artificial intelligence to map the cyclin-dependent kinase 4/6 inhibitor biomarker landscape in breast cancer.,2024-12-01,Wager Kim; Wang Yao; Liew Andrew; Campbell Dean; Liu Feng; Martini Jean-François; Ziaee Niusha; Liu Yuan,Oxford PharmaGenesis; Pfizer,None
38488039,Evaluating relugolix for the treatment of prostate cancer in real-world settings of care: the OPTYX study protocol.,2024-04-01,Fallick Mark; Flanders Scott C,Myovant Sciences,None
36721313,Deep learning-based pathology image analysis predicts cancer progression risk in patients with oral leukoplakia.,2023-03-01,Papadimitrakopoulou Vassiliki,Pfizer,None
27891226,Validation of biomarkers to predict response to immunotherapy in cancer: Volume II - clinical validation and regulatory considerations.,2016-01-01,Cesano Alessandra; Alvarez John; Hawtin Rachael; Janetzki Sylvia; Kirsch Ilan; Selvan Senthamil R; Zhang Jenny,NanoString; Janssen Research & Development; Nodality; ZellNet Consulting; Adaptive; Omni Array; Covaris,None
16686369,Breast cancer resistance protein (Bcrp/abcg2) is a major determinant of sulfasalazine absorption and elimination in the mouse.,2006-01-01,Zaher Hani,Department of,hani.zaher@pfizer.com
35306859,Real-world treatment patterns of palbociclib and blood count monitoring in patients with advanced breast cancer in Japan.,2022-06-01,Muramatsu Yasuaki; Togo Kanae,Pfizer Japan,None
39073610,Treatment patterns and outcomes in patients with nonmetastatic castration-resistant prostate cancer in the United States.,2024-01-01,Hong Agnes; Young Christopher; Xie Bin; Ramaswamy Krishnan; El Chaar Nader,Astellas Pharma; Pfizer,None
37982848,"A Phase Ib First-In-Patient Study Assessing the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Ponsegromab in Participants with Cancer and Cachexia.",2024-02-01,Collins Susie M,Pfizer R&D UK,None
36751989,Real-world study of next-generation sequencing diagnostic biomarker testing for patients with lung cancer in Japan.,2023-06-01,Emir Birol; Iadeluca Laura,Pfizer,None
30642312,"Burden of community-acquired pneumonia, predisposing factors and health-care related costs in patients with cancer.",2019-01-14,Theilacker Christian,Pfizer Deutschland,niklas.schmedt@ingef.de.
35091441,"Determinants of Response to Talazoparib in Patients with HER2-Negative, Germline BRCA1/2-Mutated Breast Cancer.",2022-04-01,Laird A Douglas; Chen Ying; Lanzalone Silvana; Chelliserry Jijumon; Czibere Akos,Pfizer,None
39095766,Real-world dosing of regorafenib and outcomes among patients with metastatic colorectal cancer: a retrospective analysis using US claims data.,2024-08-02,Khan Nasreen; Jiao XiaoLong; Chen Guifang; Lin Wenlong; Bruno Amanda,Bayer HealthCare,Bekaii-Saab.Tanios@Mayo.edu.
34164937,Quantitative prediction of breast cancer resistant protein mediated drug-drug interactions using physiologically-based pharmacokinetic modeling.,2021-09-01,Costales Chester; Lin Jian; Kimoto Emi; Yamazaki Shinji; Gosset James R; Rodrigues A David; Lazzaro Sarah; West Mark A; Varma Manthena V S,Pfizer,None
27979599,Estimation of tumour regression and growth rates during treatment in patients with advanced prostate cancer: a retrospective analysis.,2017-01-01,Murphy Martin; Morrell Joseph; Lebowitz Peter,Project Data Sphere; the,atf2116@cumc.columbia.edu.
34732856,Survival by race in men with chemotherapy-naive enzalutamide- or abiraterone-treated metastatic castration-resistant prostate cancer.,2022-09-01,Ramaswamy Krishnan; Russell David; Mardekian Jack; Schultz Neil M,Pfizer; Astellas,daniel.george@duke.edu.
32468579,Talazoparib Exposure-Efficacy Analysis in Patients With Advanced Breast Cancer and Germline BRCA1/2 Mutations in the EMBRACA Trial.,2020-10-01,Yu Yanke; Elmeliegy Mohamed; Tudor Iulia Cristina; Czibere Akos; Wang Diane D,Pfizer,None
39003108,Risk of cardiovascular events following intermittent and continuous androgen deprivation therapy in patients with nonmetastatic prostate cancer.,2024-12-01,Hong Agnes; Gandhi Raj; Hanson Sarah; Dufour Robert,Pfizer; Myovant Sciences,mpreston@bwh.harvard.edu.
27895917,Validation of biomarkers to predict response to immunotherapy in cancer: Volume I - pre-analytical and analytical validation.,2016-01-01,Kirsch Ilan; Alvarez John; Selvan Senthamil R,Adaptive; Janssen Research & Development; Omni Array,None
32468645,Exposure-Safety Analyses of Talazoparib in Patients With Advanced Breast Cancer and Germline BRCA1/2 Mutations in the EMBRACA and ABRAZO Trials.,2020-10-01,Elmeliegy Mohamed; Yu Yanke; Czibere Akos; Wilson Gary G; Tudor Iulia Cristina; Wang Diane D,Pfizer,None
39024212,Health disparities in cervical cancer: Estimating geographic variations of disease burden and association with key socioeconomic and demographic factors in the US.,2024-01-01,Ting Jie; Zhang Yitong J; Moore Kathleen,Pfizer,None
30652510,Comparison of cardiovascular effects of crizotinib and chemotherapy in ALK-positive advanced non-small-cell lung cancer.,2019-04-01,Kim Elizabeth E,Pfizer,None
30630678,The Effect of Polymorphism in UGT1A4 on Clinical Outcomes of Adjuvant Tamoxifen Therapy for Patients With Breast Cancer in China.,2019-04-01,Han Mei,Pfizer Investment Co,drmafei@126.com.
31587137,Adverse Events Associated with Cumulative Corticosteroid Use in Patients with Castration-Resistant Prostate Cancer: An Administrative Claims Analysis.,2020-01-01,Schultz Neil M; Wilson Samuel; Song Yan; Yang Hongbo; Ramaswamy Krishnan,Astellas Pharma; Analysis Group; Pfizer,neil.schultz@astellas.com.
31700121,Author Correction: Targeting CLDN18.2 by CD3 Bispecific and ADC Modalities for the Treatments of Gastric and Pancreatic Cancer.,2019-11-08,Hasa-Moreno Adela; Aschenbrenner Laura; Van Blarcom Thomas; Liu Shu-Hui,Kodiak Sciences; Covance; Allogene; Multitude,gzhu108@live.com.
37014097,Real-World Treatment Patterns Among Patients With Metastatic Castration-Resistant Prostate Cancer: Results From an International Study.,2023-09-07,Ivanova Jasmina; Niyazov Alexander,Pfizer,None
37529919,Real-world outcomes of patients with metastatic endocrine-responsive breast cancer receiving palbociclib-based combinations.,2023-07-01,Mazursky Orr Friedman; Shalev Hadas,Pfizer,None
39151451,Effectiveness and Safety of Extended Treatment Apixaban Versus Low-Molecular-Weight Heparin in Cancer-Associated Venous Thromboembolism.,2024-08-01,Luo Xuemei,Pfizer,None
30117060,Correction to: Patterns of Bicalutamide Use in Prostate Cancer Treatment: A U.S. Real-World Analysis Using the SEER-Medicare Database.,2018-09-01,Schultz Neil M; Flanders Scott C; Barlev Arie; Quek Ruben G W,Astellas Pharma; Pfizer,dimmerj@karmanos.org.
28138260,Dalteparin versus vitamin K antagonists for the prevention of recurrent venous thromboembolism in patients with cancer and renal impairment: a Canadian pharmacoeconomic analysis.,2017-01-01,Dranitsaris George,Augmentium Pharma Consulting,None
28474673,Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer.,2017-05-05,Kan Zhengyan,Pfizer,None
38538879,Real-world overall survival with abiraterone acetate versus enzalutamide in chemotherapy-naïve patients with metastatic castration-resistant prostate cancer.,2024-12-01,Ramaswamy Krishnan; Yang Hongbo; Liu Qing; Zhang Adina; Greatsinger Alexandra; Ivanova Jasmina; Thompson Betty; Emir Birol; Hong Agnes,Pfizer; Analysis Group; Formerly of Astellas,daniel.george@duke.edu.
39404227,Enzalutamide in metastatic hormone-sensitive prostate cancer: A plain language summary of the ARCHES and ENZAMET follow-up studies.,2025-01-01,Haas Gabriel P; Bland Christopher,Astellas Pharma; Formerly of Pfizer,None
33263430,DNA damage repair gene mutation testing and genetic counseling in men with/without prostate cancer: a systematic review.,2021-03-01,Armstrong Nigel; Quek Ruben Gw; Ryder Steve; Ross Janine; Buksnys Titas; Forbes Carol; Fox Kathleen M,Kleijnen Systematic Reviews; Pfizer; Strategic Healthcare Solutions,None
34570988,Liquid biopsy from research to clinical practice: focus on non-small cell lung cancer.,2021-11-01,Jantus-Lewintre Eloísa,Department of,None
31822716,Evaluation of the dual mTOR/PI3K inhibitors Gedatolisib (PF-05212384) and PF-04691502 against ovarian cancer xenograft models.,2019-12-10,Kan Julie,Pfizer Translational,simon.langdon@ed.ac.uk.
39863775,"Encorafenib, cetuximab and chemotherapy in BRAF-mutant colorectal cancer: a randomized phase 3 trial.",2025-03-01,Beyzarov Elena; Zhang Xiaoxi; Ferrier Graham; Zhang Xiaosong,Pfizer,SKopetz@mdanderson.org.
28280092,A Phase I/Ib Study of Enzalutamide Alone and in Combination with Endocrine Therapies in Women with Advanced Breast Cancer.,2017-08-01,Yardley Denise A; Burris Howard A; Peterson Amy C; Blaney Martha E; Steinberg Joyce L; Gibbons Jacqueline A,Medivation; Astellas,trainat@mskcc.org.
33631973,"Real-world symptoms, disease burden, resource use and quality of life in US patients with advanced renal cell cancer.",2021-06-01,Liu Frank X,EMD Serono,None
37882974,Overall survival in Japanese patients with ER+/HER2- advanced breast cancer treated with first-line palbociclib plus letrozole.,2024-01-01,Ichikawa Akemi; Muramatsu Yasuaki,Pfizer Japan,masato.takahashi0725@gmail.com.
35080190,Talazoparib plus enzalutamide in metastatic castration-resistant prostate cancer: TALAPRO-2 phase III study design.,2022-02-01,Paccagnella Maria Luisa; Santo Nicola Di; Elmeliegy Mohamed; Lin Xun; Czibere Akos,Pfizer,None
33028084,Exploratory analysis of the platelet-to-lymphocyte ratio prognostic value in the adjuvant renal cell cancer setting.,2021-02-01,Martini Jean-François; Lin Xun,Pfizer,None
33202977,"Bioanalytical Assay Development and Validation for the Pharmacokinetic Study of GMC1, a Novel FKBP52 Co-chaperone Inhibitor for Castration Resistant Prostate Cancer.",2020-11-13,Ekpenyong Oscar; Cooper Candace,Department of,None
30687083,Erythropoiesis-Stimulating Agents in the Management of Anemia in Chronic Kidney Disease or Cancer: A Historical Perspective.,2018-01-01,Fung Selwyn; Arantes Luiz H,Pfizer,None
39168093,HSD3B1 genotype and outcomes in metastatic hormone-sensitive prostate cancer with androgen deprivation therapy and enzalutamide: ARCHES.,2024-08-20,Wozniak Michele; Zohren Fabian; Sugg Jennifer; Haas Gabriel P,Astellas Pharma; Pfizer,nimasharifi@miami.edu.
39427229,Comparative efficacy and safety of talazoparib plus enzalutamide and other first-line treatments for metastatic castration-resistant prostate cancer.,2025-03-10,Nazari Jonathan; Niyazov Alexander,Pfizer,None
38500292,Phase 2 study of the efficacy and safety of ponsegromab in patients with cancer cachexia: PROACC-1 study design.,2024-06-01,Collins Susie M,Pfizer R&D UK,None
28204995,Dalteparin or vitamin K antagonists to prevent recurrent venous thromboembolism in cancer patients: a patient-level economic analysis for France and Austria.,2017-07-01,Dranitsaris George,Augmentium Pharma Consulting,george@augmentium.com.
39651809,"Discovery of PF-07265028, A Selective Small Molecule Inhibitor of Hematopoietic Progenitor Kinase 1 (HPK1) for the Treatment of Cancer.",2024-12-26,Gallego Rebecca A; Cho-Schultz Sujin; Del Bel Matthew; Dechert-Schmitt Anne-Marie; Donaldson Joyann S; He Mingying; Jalaie Mehran; Kania Rob; Matthews Jean; McTigue Michele; Tuttle Jamison B; Risley Hud; Zhou Dahui; Zhou Ru; Ahmad Omar K; Bernier Louise; Berritt Simon; Braganza John; Chen Zecheng; Cianfrogna Julie A; Collins Michael; Costa Jones Cinthia; Cronin Ciaran N; Davis Carl; Dress Klaus; Edwards Martin; Farrell William; France Scott P; Grable Nicole; Johnson Eric; Johnson Ted W; Jones Rhys; Knauber Thomas; Lafontaine Jennifer; Loach Richard P; Maestre Michael; Miller Nichol; Moen Mark; Monfette Sebastien; Morse Peter; Nager Andrew Ross; Niosi Mark; Richardson Paul; Rohner Allison K; Sach Neal W; Timofeevski Sergei; Tucker Joseph W; Vetelino Beth; Zhang Lei; Nair Sajiv K,Pfizer,None
34725947,Treatment patterns and survival in metastatic castration-sensitive prostate cancer in the US Veterans Health Administration.,2021-12-01,Emir Birol; Hong Agnes; Serfass Lucile,Pfizer; Astellas,None
34518652,Impact of enzalutamide on patient-reported fatigue in patients with prostate cancer: data from the pivotal clinical trials.,2022-02-01,Ganguli Arijit; Bhadauria Hemant; Holmstrom Stefan,Astellas Pharma,fred.saad@umontreal.ca.
30700828,Combining CDK4/6 inhibition with taxanes enhances anti-tumor efficacy by sustained impairment of pRB-E2F pathways in squamous cell lung cancer.,2019-05-01,Cao Joan; Zhu Zhou; Nichols Timothy C; Deng Shibing; Rejto Paul A; VanArsdale Todd; Hardwick James S; Weinrich Scott L; Wei Ping,Pfizer,ping.wei@pfizer.com.
24806399,Prognostic impact of the neutrophil-to-lymphocyte ratio in men with metastatic castration-resistant prostate cancer.,2014-10-01,Chen Isan; Chow-Maneval Edna,Pfizer,gsonpavde@uabmc.edu.
30804692,Systematic review of sequencing of ALK inhibitors in <i>ALK</i>-positive non-small-cell lung cancer.,2019-01-01,Chioda Marc; Torgersen Knut Martin; Masters Elizabeth T,Pfizer,sbarrows@rti.org.
33494720,Real-world safety of palbociclib in breast cancer patients in the United States: a new user cohort study.,2021-01-25,Beachler Daniel C; de Luise Cynthia; Jamal-Allial Aziza; Yin Ruihua; Taylor Devon H; Lanes Stephan,HealthCore; Pfizer; Anthem,dbeachler@healthcore.com.
38468440,The relationship between weight gain during chemotherapy and outcomes in patients with advanced non-small cell lung cancer.,2024-06-01,Hilton Fiona; Yang Ruoyong; Whalen Ed; Tarasenko Lisa,Pfizer,None
29909880,Informing the Tolerability of Cancer Treatments Using Patient-Reported Outcome Measures: Summary of an FDA and Critical Path Institute Workshop.,2018-06-01,Cappelleri Joseph C; Rubin Eric H,Pfizer,paul.kluetz@fda.hhs.gov.
34420037,"Efficacy of enzalutamide in subgroups of men with metastatic hormone-sensitive prostate cancer based on prior therapy, disease volume, and risk.",2022-02-01,Rosbrook Brad; Lee Ho-Jin; Haas Gabriel P,Pfizer; Astellas Pharma,andrew.armstrong@duke.edu.
36324736,Comorbidity between lung cancer and COVID-19 pneumonia: role of immunoregulatory gene transcripts in high <i>ACE2</i>-expressing normal lung.,2022-01-01,Martini Jean-François,Pfizer,None
35098723,Real-world multi-country study of <i>BRCA1/2</i> mutation testing among adult women with HER2-negative advanced breast cancer.,2022-03-01,Niyazov Alexander,Pfizer,None
38861216,Development of a Novel Patient-Reported Outcome Measure to Assess Symptoms and Impacts of Androgen Deprivation Therapy for Advanced Prostate Cancer.,2024-08-01,de Paauw-Holt Simon; Hunsche Elke,Sumitomo Pharma Switzerland,elke.hunsche@ch.sumitomo-pharma.com.
35708696,Enzalutamide Monotherapy vs Active Surveillance in Patients With Low-risk or Intermediate-risk Localized Prostate Cancer: The ENACT Randomized Clinical Trial.,2022-08-01,Siddiqui Rizwan; Hairston John; Elsouda Dina,Astellas Pharma,None
31332693,Combination Treatment with an Antibody-Drug Conjugate (A1mcMMAF) Targeting the Oncofetal Glycoprotein 5T4 and Carboplatin Improves Survival in a Xenograft Model of Ovarian Cancer.,2019-08-01,Sapra Puja,Pfizer,Peter.Stern@cruk.manchester.ac.uk.
36828596,Contrived Materials and a Data Set for the Evaluation of Liquid Biopsy Tests: A Blood Profiling Atlas in Cancer (BLOODPAC) Community Study.,2023-03-01,Clement Omoshile; Corner Adam S; Jensen Jeffrey; Maar Dianna,SeraCare Life Sciences; Bio-Rad Laboratories,lauren@bloodpac.org.
34965947,The Effect of Corticosteroids on Prostate Cancer Outcome Following Treatment with Enzalutamide: A Multivariate Analysis of the Phase III AFFIRM Trial.,2022-03-01,Duggan William T,Pfizer,None
29507494,Real-world outcomes in patients with ALK-positive non-small cell lung cancer treated with crizotinib.,2018-02-01,Masters E T; Iyer S,Pfizer,None
39162127,Real-world prevalence of adverse events with first-line systemic therapies among patients with metastatic castration-sensitive prostate cancer.,2024-11-01,Xie Bin; Young Christopher; Ramaswamy Krishnan; El-Chaar Nader; Mucha Lisa,Astellas Pharma; Pfizer,None
34621011,Enzalutamide versus bicalutamide in patients with nonmetastatic castration-resistant prostate cancer: a prespecified subgroup analysis of the STRIVE trial.,2022-02-01,Duggan William; Sugg Jennifer; Haas Gabriel P,Pfizer; Astellas,david.penson@vumc.org.
33506318,Does Biosimilar Bevacizumab Offer Affordable Treatment Options for Cancer Patients in the USA? A Budget Impact Analysis from US Commercial and Medicare Payer Perspectives.,2021-07-01,Yang Jingyan; Shelbaya Ahmed,Pfizer,jingyan.yang@pfizer.com.
34937730,Reversing T-cell Exhaustion in Cancer: Lessons Learned from PD-1/PD-L1 Immune Checkpoint Blockade.,2022-02-01,Budimir Natalija; Thomas Graham D; Dolina Joseph S; Salek-Ardakani Shahram,Pfizer,ssalekardakani@gmail.com
30962720,"A systematic review of international guidelines and recommendations for the genetic screening, diagnosis, genetic counseling, and treatment of <i>BRCA</i>-mutated breast cancer.",2019-01-01,Forbes Carol; Fayter Debra; de Kock Shelley; Quek Ruben Gw,Kleijnen Systematic Reviews; Pfizer,carol@systematic-reviews.com.
37531024,Healthcare Costs in Men with Metastatic Castration-Resistant Prostate Cancer: An Analysis of US Medicare Fee-For-Service Claims.,2023-10-01,Davis Matthew R; Epstein Andrew J; Ivanova Jasmina I,Medicus Economics; Pfizer,Stephen.Freedland@cshs.org.
39475418,Real-world effectiveness of palbociclib plus endocrine therapy in HR+/HER2- advanced breast cancer: final results from the POLARIS trial.,2024-10-30,Gauthier Eric; Zhang Zhe; Wang Yao,Pfizer,None
29222530,Seizure Rates in Enzalutamide-Treated Men With Metastatic Castration-Resistant Prostate Cancer and Risk of Seizure: The UPWARD Study.,2018-05-01,Krivoshik Andrew; Park Jung Wook,Astellas,None
37958441,Palbociclib Combined with an Aromatase Inhibitor in Patients with Breast Cancer with Lung or Liver Metastases in US Clinical Practice.,2023-11-02,Liu Xianchen; Li Benjamin; McRoy Lynn; Chen Connie,Pfizer,None
34234466,Demographic Characteristics and Treatment Patterns Among Patients Receiving Palbociclib for HR+/HER2- Advanced Breast Cancer: A Nationwide Real-World Experience.,2021-01-01,Rokszin György; Abonyi-Tóth Zsolt; Földesi Csenge,RxTarget; Pfizer,None
33612825,Survival outcomes in patients with chemotherapy-naive metastatic castration-resistant prostate cancer treated with enzalutamide or abiraterone acetate.,2021-12-01,Ramaswamy Krishnan; Mardekian Jack; Schultz Neil M; Lechpammer Stanislav,Pfizer; Astellas Pharma,krishnan.ramaswamy@pfizer.com.
37585665,Plain language summary: Can declines in prostate-specific antigen level indicate how long patients with advanced prostate cancer will live when treated with enzalutamide?,2023-09-01,Lin Xun; Sugg Jennifer; Steinberg Joyce,Pfizer; Astellas Pharma,None
30189880,Circulating tumor cells criteria (CyCAR) versus standard RECIST criteria for treatment response assessment in metastatic colorectal cancer patients.,2018-09-06,Rodriguez-Martínez Alba; Ilyine Hugh,DestiNA Genomics,mjose.serrano@genyo.es.
34848822,Correction: Enzalutamide versus bicalutamide in patients with nonmetastatic castration-resistant prostate cancer: a prespecified subgroup analysis of the STRIVE trial.,2022-09-01,Duggan William; Sugg Jennifer; Haas Gabriel P,Pfizer; Astellas,david.penson@vumc.org.
30794760,"Real-world misuse, abuse, and dependence of abuse-deterrent versus non-abuse-deterrent extended-release morphine in Medicaid non-cancer patients.",2019-04-01,Mendoza Mario; Cattaneo Michael; Mardekian Jack; Park Peter W,b Centrexion; Pfizer,None
32162822,Talazoparib in Patients with a Germline BRCA-Mutated Advanced Breast Cancer: Detailed Safety Analyses from the Phase III EMBRACA Trial.,2020-03-01,Chakrabarti Jayeta; Elmeliegy Mohamed; Gauthier Eric; Czibere Akos; Tudor Iulia Cristina; Quek Ruben G W,Pfizer,None
38536033,Treatment outcomes in older patients with metastatic breast cancer receiving palbociclib plus an aromatase inhibitor: a plain language summary.,2024-01-01,Liu Xianchen; McRoy Lynn; Chen Connie,Pfizer,None
30728048,Exosomal miRNA profile as complementary tool in the diagnostic and prediction of treatment response in localized breast cancer under neoadjuvant chemotherapy.,2019-02-06,Ilyine Hugh,DestiNA Genomics,mjose.serrano@genyo.es.
19209887,LC-MS/MS mediated absolute quantification and comparison of bile salt export pump and breast cancer resistance protein in livers and hepatocytes across species.,2009-03-15,Li Na,Department of,None
32159882,Safety and efficacy of first-line dacomitinib in Japanese patients with advanced non-small cell lung cancer.,2020-05-01,Tsuji Fumito,SFJ,None
31583515,Correction to: Combination Treatment with an Antibody-Drug Conjugate (A1mcMMAF) Targeting the Oncofetal Glycoprotein 5T4 and Carboplatin Improves Survival in a Xenograft Model of Ovarian Cancer.,2019-12-01,Sapra Puja,Pfizer,Peter.Stern@cruk.manchester.ac.uk.
36789668,The Role of Physician Specialty in the Underutilization of Standard-of-Care Treatment Intensification in Patients With Metastatic Castration-sensitive Prostate Cancer.,2023-06-01,Hong Agnes; El-Chaar Nader N; Nimke David,Pfizer; Astellas Pharma,None
39645562,Talazoparib plus enzalutamide versus olaparib plus abiraterone acetate and niraparib plus abiraterone acetate for metastatic castration-resistant prostate cancer: a matching-adjusted indirect comparison.,2024-12-07,Nazari Jonathan; Niyazov Alexander,Pfizer,ecastro.imas12@h12o.es.
37783836,Real-world treatment patterns and overall survival among men with Metastatic Castration-Resistant Prostate Cancer (mCRPC) in the US Medicare population.,2024-06-01,Davis Matthew; Epstein Andrew J; Ivanova Jasmina I,Medicus Economics; Pfizer,Jasmina.Ivanova@pfizer.com.
11377037,LC/MS/MS quantitation of an anti-cancer drug in human plasma using a solid-phase extraction workstation: application to population pharmacokinetics.,2001-06-01,Penn L D,Department of,lara.penn@pfizer.com
28368708,Design and Rationale of the Metastatic Renal Cell Carcinoma (MaRCC) Registry: A Prospective Academic and Community-Based Study of Patients With Metastatic Renal Cell Cancer.,2017-05-28,Abernethy Amy P; Simantov Ronit; Borham Azah,b Pfizer,None
37882449,TALAPRO-3 clinical trial protocol: phase III study of talazoparib plus enzalutamide in metastatic castration-sensitive prostate cancer.,2024-03-01,Chakrabarti Jayeta; Chen Hsiang-Chun; Niyazov Alexander,Pfizer,None
25944621,A simplified interventional mapping system (SIMS) for the selection of combinations of targeted treatments in non-small cell lung cancer.,2015-06-10,Gomez-Navarro Jesus; Yver Antoine; Dry Jonathan R; Galbraith Susan; Lehnert Manfred; Mortlock Andrew,Takeda; AstraZeneca,None
